old_path,new_path,level,reason,status
15-AI自动化工兵营/OpenClaw,15-AI自动化工兵营/12-OpenClaw,2,无序号前缀,done
15-AI自动化工兵营/Prompt提示词,15-AI自动化工兵营/13-Prompt提示词,2,无序号前缀,done
15-AI自动化工兵营/SOP执行库,15-AI自动化工兵营/14-SOP执行库,2,无序号前缀,done
15-AI自动化工兵营/方法论,15-AI自动化工兵营/15-方法论,2,无序号前缀,done
15-AI自动化工兵营/女娲顾问,15-AI自动化工兵营/16-女娲顾问,2,无序号前缀,done
15-AI自动化工兵营/提示词库,15-AI自动化工兵营/17-提示词库,2,无序号前缀,done
15-AI自动化工兵营/用量统计,15-AI自动化工兵营/18-用量统计,2,无序号前缀,done
15-AI自动化工兵营/认知框架,15-AI自动化工兵营/19-认知框架,2,无序号前缀,done
15-AI自动化工兵营/工具配置关系,15-AI自动化工兵营/20-工具配置关系,2,无序号前缀,done
15-AI工作流与自动化/AI视频剪辑工作流,15-AI工作流与自动化/01-AI视频剪辑工作流,2,无序号前缀,done
17-个人财务与账单分析/01_决策看板,17-个人财务与账单分析/01-决策看板,2,格式不统一（下划线→横杠）,done
17-个人财务与账单分析/02_年度分析,17-个人财务与账单分析/02-年度分析,2,格式不统一,done
17-个人财务与账单分析/03_季度分析,17-个人财务与账单分析/03-季度分析,2,格式不统一,done
17-个人财务与账单分析/04_分类分析,17-个人财务与账单分析/04-分类分析,2,格式不统一,done
17-个人财务与账单分析/05_清洗数据,17-个人财务与账单分析/05-清洗数据,2,格式不统一,done
17-个人财务与账单分析/06_人工复核,17-个人财务与账单分析/06-人工复核,2,格式不统一,done
17-个人财务与账单分析/07_规则口径,17-个人财务与账单分析/07-规则口径,2,格式不统一,done
17-个人财务与账单分析/08_附件索引,17-个人财务与账单分析/08-附件索引,2,格式不统一,done
17-个人财务与账单分析/17-个人财务与账单分析,17-个人财务与账单分析/09-核心分析报告,2,使用一级目录编号（重复父级）,done
17-个人财务与账单分析/99_附件_Excel_CSV,17-个人财务与账单分析/99-附件-Excel-CSV,2,格式不统一,done
18-个人学习与成长/14-学习与成长,18-个人学习与成长/01-学习与成长,2,不从01开始,done
18-个人学习与成长/书籍蒸馏,18-个人学习与成长/02-书籍蒸馏,2,无序号前缀,done
18-个人学习与成长/商业人物,18-个人学习与成长/03-商业人物,2,无序号前缀,done
18-个人学习与成长/情报播客,18-个人学习与成长/04-情报播客,2,无序号前缀,done
18-个人学习与成长/思维模型库,18-个人学习与成长/05-思维模型库,2,无序号前缀,done
18-个人学习与成长/网上课程整理,18-个人学习与成长/06-网上课程整理,2,无序号前缀,done
20-资料下载中转仓/raw,20-资料下载中转仓/01-raw,2,无序号前缀,done
20-资料下载中转仓/视频下载,20-资料下载中转仓/02-视频下载,2,无序号前缀,done
00-总指挥部/02-AI路由与入口/00-AI读取入口,00-总指挥部/02-AI路由与入口/01-AI读取入口,3,不从01开始,done
15-AI自动化工兵营/01-模型路由/母模型库,15-AI自动化工兵营/01-模型路由/01-母模型库,3,无序号前缀,done
15-AI自动化工兵营/01-模型路由/模型路由器,15-AI自动化工兵营/01-模型路由/02-模型路由器,3,无序号前缀,done
00-总指挥部/01-共享中枢/Clippings,00-总指挥部/01-共享中枢/01-Clippings,3,无序号前缀,done
